UNI,DATE,VOTES CAST
FAMU,19-Oct,158
FAMU,20-Oct,189
FAMU,21-Oct,208
FAMU,22-Oct,189
FAMU,23-Oct,207
FAMU,24-Oct,116
FAMU,25-Oct,65
FAMU,26-Oct,196
FAMU,27-Oct,188
FAMU,28-Oct,243
FAMU,29-Oct,179
FAMU,30-Oct,285
FAMU,31-Oct,170
FAMU,1-Nov,180
FAU (BOCA RATON),19-Oct,907
FAU (BOCA RATON),20-Oct,952
FAU (BOCA RATON),21-Oct,839
FAU (BOCA RATON),22-Oct,951
FAU (BOCA RATON),23-Oct,"1,164"
FAU (BOCA RATON),24-Oct,695
FAU (BOCA RATON),25-Oct,628
FAU (BOCA RATON),26-Oct,827
FAU (BOCA RATON),27-Oct,"1,137"
FAU (BOCA RATON),28-Oct,883
FAU (BOCA RATON),29-Oct,"1,024"
FAU (BOCA RATON),30-Oct,"1,172"
FAU (BOCA RATON),31-Oct,816
FAU (BOCA RATON),1-Nov,"1,023"
FIU,19-Oct,"1,160"
FIU,20-Oct,"1,065"
FIU,21-Oct,816
FIU,22-Oct,"1,108"
FIU,23-Oct,"1,395"
FIU,24-Oct,978
FIU,25-Oct,698
FIU,26-Oct,916
FIU,27-Oct,964
FIU,28-Oct,895
FIU,29-Oct,887
FIU,30-Oct,959
FIU,31-Oct,780
FIU,1-Nov,863
FSU,19-Oct,540
FSU,20-Oct,620
FSU,21-Oct,601
FSU,22-Oct,604
FSU,23-Oct,695
FSU,24-Oct,337
FSU,25-Oct,257
FSU,26-Oct,615
FSU,27-Oct,746
FSU,28-Oct,770
FSU,29-Oct,756
FSU,30-Oct,910
FSU,31-Oct,572
FSU,1-Nov,719
MDC (KENDALL),19-Oct,1118
MDC (KENDALL),20-Oct,884
MDC (KENDALL),21-Oct,668
MDC (KENDALL),22-Oct,921
MDC (KENDALL),23-Oct,1096
MDC (KENDALL),24-Oct,648
MDC (KENDALL),25-Oct,612
MDC (KENDALL),26-Oct,669
MDC (KENDALL),27-Oct,647
MDC (KENDALL),28-Oct,650
MDC (KENDALL),29-Oct,735
MDC (KENDALL),30-Oct,749
MDC (KENDALL),31-Oct,535
MDC (KENDALL),1-Nov,698
MDC (NORTH),19-Oct,527
MDC (NORTH),20-Oct,363
MDC (NORTH),21-Oct,258
MDC (NORTH),22-Oct,361
MDC (NORTH),23-Oct,506
MDC (NORTH),24-Oct,409
MDC (NORTH),25-Oct,316
MDC (NORTH),26-Oct,419
MDC (NORTH),27-Oct,405
MDC (NORTH),28-Oct,437
MDC (NORTH),29-Oct,500
MDC (NORTH),30-Oct,521
MDC (NORTH),31-Oct,467
MDC (NORTH),1-Nov,554
NSU,19-Oct,673
NSU,20-Oct,629
NSU,21-Oct,564
NSU,22-Oct,663
NSU,23-Oct,831
NSU,24-Oct,458
NSU,25-Oct,331
NSU,26-Oct,599
NSU,27-Oct,688
NSU,28-Oct,727
NSU,29-Oct,715
NSU,30-Oct,863
NSU,31-Oct,565
NSU,1-Nov,736
UCF,19-Oct,523
UCF,20-Oct,607
UCF,21-Oct,705
UCF,22-Oct,732
UCF,23-Oct,719
UCF,24-Oct,615
UCF,25-Oct,477
UCF,26-Oct,761
UCF,27-Oct,815
UCF,28-Oct,821
UCF,29-Oct,826
UCF,30-Oct,869
UCF,31-Oct,733
UCF,1-Nov,824
UF,19-Oct,681
UF,20-Oct,761
UF,21-Oct,884
UF,22-Oct,830
UF,23-Oct,842
UF,24-Oct,551
UF,25-Oct,300
UF,26-Oct,713
UF,27-Oct,760
UF,28-Oct,841
UF,29-Oct,837
UF,30-Oct,948
UF,31-Oct,888
USF,19-Oct,343
USF,20-Oct,303
USF,21-Oct,291
USF,22-Oct,298
USF,23-Oct,347
USF,24-Oct,146
USF,25-Oct,120
USF,26-Oct,235
USF,27-Oct,278
USF,28-Oct,312
USF,29-Oct,307
USF,30-Oct,362
USF,31-Oct,234
USF,1-Nov,246
UWF,19-Oct,486
UWF,20-Oct,596
UWF,21-Oct,493
UWF,22-Oct,407
UWF,23-Oct,429
UWF,24-Oct,283
UWF,25-Oct,159
UWF,26-Oct,394
UWF,27-Oct,438
UWF,28-Oct,224
UWF,29-Oct,340
UWF,30-Oct,473
UWF,31-Oct,405
